PSRJ,PTA_SRC,REF_SH,GL,GB,P0,P1,DM,DM_ERR,DMEPOCH,RM,RM_ERR,RM_SNG,L_FRAC,L_FRAC_ERR,V_FRAC,V_FRAC_ERR,ABS_V_FRAC,ABS_V_FRAC_ERR,TOA_ERR_NEW,SPIND,SPIND_ERR,NOBS,S1400,S1400_ERR,FLUX_0_VAL,FLUX_1_VAL,FLUX_2_VAL,FLUX_3_VAL,FLUX_4_VAL,FLUX_5_VAL,FLUX_6_VAL,FLUX_7_VAL,FLUX_0_ERR,FLUX_1_ERR,FLUX_2_ERR,FLUX_3_ERR,FLUX_4_ERR,FLUX_5_ERR,FLUX_6_ERR,FLUX_7_ERR,FLUX_0_FRQ,FLUX_1_FRQ,FLUX_2_FRQ,FLUX_3_FRQ,FLUX_4_FRQ,FLUX_5_FRQ,FLUX_6_FRQ,FLUX_7_FRQ
J1708-3506,True,kjvs+10,350.47,3.1239999999999997,0.004505158948526,1.1226e-20,146.7636,0.0014,59088.804052,-10.558224197214171,0.17714088422495808,False,0.15441009939989608,0.02001115524489885,0.020134372328925527,0.02103238673877516,0.02549852834315861,0.02103238673877516,1.7777890157583247,-2.23,0.05,25,1.445,0.015,3.4,2.79,2.32,1.96,1.62,1.39,1.19,0.98,0.09,0.07,0.06,0.04,0.03,0.03,0.03,0.04,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1709+2313,False,fcwa95,44.522,32.209,0.0046311962778409,3.6200000000000004e-21,25.3399,0.0014,59082.71729400001,36.645553079682415,1.5933750365811563,True,0.27209238706870226,0.021317804921638792,0.06625367123815755,0.06382277758806172,0.017926687110304203,0.06382277758806172,6.050406381629668,-3.1,0.6,6,0.19,0.02,0.6,0.7,0.27,0.3,0.2,0.14,0.12,0.15,0.2,0.2,0.08,0.2,0.09,0.03,0.04,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1713+0747,True,fwc93,28.750999999999998,25.223000000000003,0.004570136598623234,8.529700000000001e-21,15.9904,0.0005,58782.485452999994,10.881726738355471,0.09760928050079756,False,0.3156037383995109,0.02000085352609233,-0.015958590833397526,0.020150991856172144,0.03425049005603243,0.020150991856172144,0.042405978615137965,-1.0,0.3,35,8.3,0.5,12.1,10.0,13.0,12.0,7.9,9.0,7.7,6.7,1.2,2.0,3.0,2.0,0.9,2.0,1.1,1.3,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1719-1438,True,bbb+11a,8.859,12.838,0.005790151770040999,7.966e-21,36.7752,0.0005,58952.268692,17.27162007607116,0.19054728352268624,False,0.2460479327853634,0.020048636998947336,0.04166378255825806,0.02352435886604317,0.0397576561194453,0.02352435886604317,1.4679790320952872,-2.5,0.2,41,0.43,0.02,1.09,0.92,0.8,0.59,0.46,0.4,0.34,0.3,0.08,0.08,0.08,0.06,0.04,0.04,0.04,0.04,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1721-2457,True,eb01b,0.387,6.751,0.003496633728452,5.610000000000001e-21,48.2341,0.0006,59246.428925,-37.65869415593485,0.3623773050426864,False,0.18618678641611447,0.020035384588769745,0.0859377406455373,0.022751808085035755,0.07213603112770428,0.022751808085035755,2.6022054272715414,-1.93,0.15,12,1.03,0.04,2.08,1.87,1.57,1.37,1.24,1.04,0.84,0.68,0.1,0.1,0.09,0.1,0.11,0.14,0.1,0.06,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1727-2946,False,fsk+04,357.13699999999994,2.9210000000000003,0.027083183273590997,2.4607e-19,60.7336,0.0014,58983.959652,-90.35272802554407,0.8686477506075571,False,0.24311436558896204,0.02039634508945733,0.025596662568108358,0.05040960704179807,0.0905756459353321,0.05040960704179807,4.291851636575031,-2.4,0.2,8,0.265,0.011,0.7,0.52,0.44,0.35,0.32,0.28,0.21,0.17,0.05,0.04,0.03,0.03,0.04,0.03,0.02,0.02,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1730-2304,True,lnl+95,3.137,6.023,0.008122798048058037,2.018423e-20,9.6257,0.0005,59167.519836,-3.7243960190121577,0.09222749349926553,False,0.27752204654779394,0.02000549582933784,-0.1989830720900226,0.031086162811579183,0.2044672860264466,0.031086162811579183,0.4094523589944874,-2.0,0.2,39,3.5,0.2,7.2,6.5,5.5,5.1,4.1,3.7,3.0,1.8,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1731-1847,True,kjvs+10,6.89,8.151,0.0023445595468869,2.5396e-20,106.4721,0.0007,59057.862312,21.488207195142326,0.3842084596674049,False,0.5170403135557561,0.0204063754692162,-0.16919637931456086,0.04232892090361453,0.14028658929361346,0.04232892090361453,0.3790038040742559,-2.4,0.2,6,0.38,0.015,0.96,0.76,0.65,0.5,0.41,0.37,0.31,0.26,0.07,0.05,0.04,0.05,0.03,0.03,0.03,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1732-5049,True,eb01b,340.029,-9.454,0.005312550290423001,1.4216e-20,56.8209,0.0004,59237.244739,-8.15867751709655,0.3145246479048457,False,0.25138491744137537,0.020021735113779724,0.0026738166461167524,0.021672778378381302,0.010904327178355648,0.021672778378381302,0.6877621417258186,-1.9,0.2,53,2.11,0.11,4.4,3.6,3.1,2.8,2.4,2.0,1.8,1.5,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1737-0811,True,blr+13,16.932000000000002,12.318,0.0041750173128158,7.912e-21,55.306,0.0011,58672.93471,64.85927046195275,0.14774371381929244,False,0.2564306459713514,0.020022815428571462,0.0009935478532245572,0.021245177367289137,0.024219822359674285,0.021245177367289137,1.8767062354065127,-2.19,0.07,44,1.07,0.02,2.48,2.03,1.75,1.46,1.22,1.03,0.88,0.75,0.09,0.07,0.06,0.05,0.05,0.04,0.03,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1738+0333,False,jac05,27.721,17.742,0.005850095859775686,2.4119919999999997e-20,33.771,0.003,59057.880589,34.71414372724484,0.4733202872321826,False,0.22024314309498594,0.02033337822112953,-0.020736251276432485,0.03528174901989484,0.013131025589122413,0.03528174901989484,1.3034641418607542,-4.1,0.5,6,0.34,0.04,1.5,1.2,0.8,0.9,0.7,0.25,0.28,0.17,0.3,0.3,0.3,0.3,0.2,0.04,0.09,0.04,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1741+1351,False,jbo+07,37.885,21.641,0.0037471545002599397,3.021648e-20,24.1962,0.0003,59057.899204999994,63.52869206234643,0.7334591393665854,False,0.17734597243747688,0.02043090365144904,0.019772912480872158,0.04314223266570934,0.00665942428584593,0.04314223266570934,0.7996411597457938,-0.8,0.5,6,0.29,0.04,0.7,0.33,0.43,0.19,0.25,0.4,0.4,0.3,0.2,0.05,0.11,0.04,0.12,0.3,0.2,0.07,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
